Building ID	Market	Street Address	City	State	Postal Code	Latitude	Longitude	On Zayo Network Status	Net Classification	Type	Network Proximity	 Estimated Build Cost 
Bldg-239553	Denver	105 Technology Dr	Broomfield	CO	80021	39.9196109	-105.1148212	Not on Zayo Network	Fiber Only	Office - Multi Tenant	620.96	 $31,028.80 
Bldg-240029	Denver	7250 W 20th Ave	Denver	CO	80214	39.747553	-105.077752	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	308.58	 $26,286.10 
Bldg-240031	Denver	3451 W 21st Ave	Denver	CO	80211	39.748818	-105.032312	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	1647.37	 $61,821.10 
Bldg-240032	Denver	3523 W 21st Ave	Denver	CO	80211	39.748809	-105.033293	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	1740.87	 $64,626.10 
Bldg-240033	Denver	1220 E 22nd Ave	Denver	CO	80205	39.749433	-104.972652	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	477.27	 $33,877.15 
Bldg-240041	Denver	9813 E 23rd Ave	Aurora	CO	80010	39.751098	-104.873622	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	99.71	 $16,886.95 
Bldg-240034	Denver	1522 E 22nd Ave	Denver	CO	80205	39.749433	-104.968782	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	488.97	 $34,403.65 
Bldg-240042	Denver	2919 W 23rd Ave	Denver	CO	80211	39.751238	-105.024191	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	1349.33	 $52,879.90 
Bldg-240035	Denver	14026 E 22nd Pl	Aurora	CO	80011	39.750159	-104.824577	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	514.63	 $27,838.90 
Bldg-240043	Denver	319 24th St	Denver	CO	80205	39.750435	-104.979604	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	1029.16	 $43,274.80 
Bldg-240036	Denver	63 S 22nd Ave	Brighton	CO	80601	39.985686	-104.794712	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	36934.66	 $1,120,439.80 
Bldg-240038	Denver	403 23rd St	Golden	CO	80401	39.748575	-105.208998	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	8528.11	 $268,243.30 
Bldg-240044	Denver	411 24th St	Denver	CO	80205	39.750824	-104.980103	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	940.68	 $40,620.40 
Bldg-240037	Denver	9842 W 22nd Pl	Denver	CO	80215	39.750213	-105.107999	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	415.15	 $31,081.75 
Bldg-240062	Denver	2528 W 26th Ave	Denver	CO	80211	39.754773	-105.018671	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	451.51	 $32,717.95 
Bldg-240045	Denver	1220 E 24th Ave	Denver	CO	80205	39.751943	-104.972471	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	683.73	 $32,911.90 
Bldg-240040	Denver	1218 E 23rd Ave	Denver	CO	80205	39.750693	-104.972871	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	596.17	 $30,285.10 
Bldg-240046	Denver	2728 W 24th Ave	Denver	CO	80211	39.752383	-105.021212	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	1319.91	 $51,997.30 
Bldg-240049	Denver	5260 W 24th Ave	Denver	CO	80214	39.751214	-105.054091	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	1336.82	 $52,504.60 
Bldg-240053	Denver	10821 E 25th Ave	Aurora	CO	80010	39.752939	-104.861962	Not on Zayo Network	Fiber Only	Residential - Multi Tenant	2344.42	 $82,732.60 
