State	Network	Proximity	Price
GA	On Zayo Network	1211.69	39080.56
GA	On Zayo Network	12.41	10372.30
GA	Not on Zayo Network	97.69	12930.70
GA	On Zayo Network	274.12	18223.60
CO	Not on Zayo Network	14.02	13030.90
TX	On Zayo Network	220.45	25227.00
GA	Not on Zayo Network	813.14	29515.36
GA	Not on Zayo Network	267.99	18039.70
GA	On Zayo Network	702.85	26868.40
GA	Not on Zayo Network	2357.25	66574.00
GA	Not on Zayo Network	1429.65	44311.60
GA	Not on Zayo Network	872.09	30930.16
GA	Not on Zayo Network	259.61	17788.30
GA	Not on Zayo Network	134.91	14047.30
GA	Not on Zayo Network	850.14	30403.36
GA	Not on Zayo Network	220.01	16600.30
GA	Not on Zayo Network	1168.28	38038.72
GA	Not on Zayo Network	208.93	16267.90
GA	Not on Zayo Network	1128.84	37092.16
GA	Not on Zayo Network	585.43	24050.32
